name,height
Ahmed Algendy,73
Aanas Aybakar,72
George Molina,72
Wood-by Paulemont,69
Richard Reyes,66
Jeremy Sapeg,70
Alex Winter,72
Ethan Abramov,73
Adam Byrne,73
Dylan Cellamare,67
Floyd Diaz,70
Vicent Dominguez Romero,70
Youssef  Elkhouly,75
Ramiel Fayngersh,71
Eric Goldshteyn,68
Michael Guzman,70
Christos Hamakiotes,69
Duncan Huie,69
Samuel Liao,65
Jordan Lin,69
Eric Mayzlin,65
Sami Rahman,70
Maxim Reznik,71
Luca Shapiro,69
Gregory Terentyev,67
Valentyn Titarenko,71
Leonardo Valdivia,68
Daniel Vasilkoff,71
Lucas Vasquez,72
Stuart Xu,65
Daniel Yadgarov,72
Aziz Abdusamiev,75
Ryan Badre-Hume,74
Max Bratkovsky,69
Aaron Brijbukhan,73
Zurab Chkhartishvili,73
Alvaro Gonzalez,69
James Lee,68
Joshua Natanzon,72
Simeon Shkoruta,67
Erik Umkeev,72
Ryan Boeding,74
Noah Boyd,68
Johan Cue Carrillo,73
Trevor Danner,73
Mattia Giurgevich,76
Eric Hansson,72
Tait Harvey,73
Nicholas Heye,71
Elliott Irwin,74
Matheo Mateos-Mongelos,73
David Molina-Fregenal,70
Jake Noble,70
Jose Ochoa,69
Gavin Schulte,73
Adam Szczerba,76
Patryk Winiatowski,72
Luke Asbury,72
Nojus Bertulis,72
Caden Brooks,72
Kirk Brotherton,73
Owen Brubaker,74
Samuel Davey,71
Christian Davidson,71
Mason Enthoven,67
Miles Fleischer,63
Leo Gandaria-Hernandez,72
Vova Gavrysh,74
Kadence Griffin,70
Colton Grimes,78
Abram Hagedorn,72
Nick Khatkovyy,68
Wyatt Kurtz,65
Jackson Lustig,73
Xander McWhorter,71
Spencer Meyers,73
Archie  Minto,72
Finn Moseley,73
Dante Nicola Rho,74
Joey Ovanic,72
Nathan Pollard,74
Patryk Rozenek,75
Calum Shank,72
Arthur Souza,69
Matthew Stooke,73
Michael Stooke,76
Noah Tague,73
Domantas  Tarnauskas,77
Tyson Upton,79
Alireza Yavari,70
Caleb Baron,72
Tyler Canteen,67
Doruk Evcimen,68
Tyler Finkle,76
AJ Guevara,66
Tomas  Jimenez,67
Daniel Karamanougian,70
Devin Korsak,70
Matthew O'Brien,71
Jacob Peraza,73
Sean Robinson,72
Andy Shkolnik,71
Joe Swede,76
Adam Wright,69
Maddox Aramini,67
Nicky Byrd,70
Ross Caimano,70
Joseph  Campise,73
Andrew Capella,69
Russell Cheng,67
Matt Cleveland,68
Bastian Dudley,70
Anthony Genovese,72
Luke Goodspeed,68
Dylan Harrison,69
Brendan Heaney,71
Ben Heyman,68
Calvin Hitzschke,72
Jack Humphrey,71
James  Llewellyn,66
Cosmo Martinelli,74
Josh Pappace,69
Colin Ringwood,69
David Scott,70
Delroy Tyrrell,72
Gavin Weseman,76
Benjamin Beldner,73
Brandon Berger,73
Ryan Board,71
Keegan Chatham,70
Zachary Ciriaco,66
Ryan Cohn,70
Nathan DeGuzman,69
Christopher Egan,66
Christopher Ghim,72
Brian Harding,76
Jackson Homan,72
Sandon Karinsky,70
George Kipshidze,73
Eric Kroon,77
Elijah Lanfear,74
Xiaoyu Lin,73
Ryan Maierle,75
William Maurer,70
Justin Meyn,74
Liam Murphy,73
Oisin O'Sullivan,71
Matthew Palguta,74
Travis Phillips,73
Robert Reining,74
Henry Shemet,75
Jake  Vecchio,68
Matthew Czubachowski,72
Nicholas Dolan,73
Caleb Ferns,72
Nicholas Griffith,76
Joseph Guiliano,72
Kieran Hassard,72
Anthony Laite,69
Drew MacDonald,72
Kyle Morken,73
Peter Vanderwerf,75
